topic,method,coverage_mean,coverage_sd,constraint_preservation_mean,constraint_preservation_sd,tokens_mean,cost_mean_usd,n
artificial_intelligence,schema,1.0,0.0,8.6,0.548,280548.0,0.0724,5
artificial_intelligence,no_schema,0.85,0.1369,8.4,0.548,67661.0,0.023,5
artificial_intelligence,free_debate,0.925,0.0685,8.4,0.548,29446.0,0.0117,5
artificial_intelligence,mad,0.6,0.1854,6,1.871,33249.0,0.0115,5
animal_dissection,schema,1.0,0.0,7.6,0.894,231671,0.0683,5
animal_dissection,no_schema,0.9667,0.0745,6.4,0.894,71161.0,0.0263,5
animal_dissection,free_debate,1.0,0.0,7.8,1.095,29187.0,0.0121,5
animal_dissection,mad,0.6333,0.1394,4.8,1.304,30746.0,0.0111,5
election_day,schema,1.0,0.0,8,0.0,207656.0,0.0585,5
election_day,no_schema,1.0,0.0,8.2,0.447,73508,0.0238,5
election_day,free_debate,1.0,0.0,8.4,0.548,27896.0,0.0112,5
election_day,mad,0.8333,0.0,5.2,1.095,28919.0,0.0109,5
alternative_energy,schema,1.0,0.0,7,1.225,229679.0,0.0622,5
alternative_energy,no_schema,0.9667,0.0745,8,0.0,90952.0,0.0292,5
alternative_energy,free_debate,0.9667,0.0745,7.6,0.894,31714.0,0.0128,5
alternative_energy,mad,0.7,0.1826,4.2,1.304,35267.0,0.0131,5
american_socialism,schema,0.9333,0.0913,7.2,0.837,255025,0.0682,5
american_socialism,no_schema,0.8333,0.1667,7.8,1.095,88526.0,0.0292,5
american_socialism,free_debate,0.8667,0.0745,7.6,0.894,32897.0,0.013,5
american_socialism,mad,0.5333,0.0745,4.2,0.447,35827.0,0.0124,5
abortion,schema,1.0,0.0,8.4,0.894,184707.0,0.0579,5
abortion,no_schema,1.0,0.0,8,1.0,69897.0,0.0258,5
abortion,free_debate,0.9,0.0913,8.4,0.548,28760.0,0.0123,5
abortion,mad,0.5,0.1667,5,1.732,31043.0,0.0111,5
ALL_TOPICS,schema,0.9889,0.0423,7.8,0.961,231548.0,0.0646,30
ALL_TOPICS,no_schema,0.9361,0.113,7.8,0.961,76951.0,0.0262,30
ALL_TOPICS,free_debate,0.9431,0.077,8.033,0.809,29983.0,0.0122,30
ALL_TOPICS,mad,0.6333,0.1711,4.9,1.398,32508.0,0.0117,30
